"f(r[0,j])","f(r[1,j])","f(r[2,j])","f(r[3,j])","f(r[4,j])","f(r[5,j])","f(r[6,j])","f(r[7,j])","f(r[8,j])","f(r[9,j])","f(r[10,j])"
"0.0115","0.0115","0.0115","0.0115","0.0115","0.0115","0.0115","0.0115","0.0115","0.0115","0.0115"
"0.0113","0.0113","0.0113","0.0113","0.0113","0.0113","0.0113","0.0113","0.0113","0.0113","0.0113"
"0.0112","0.0112","0.0112","0.0112","0.0112","0.0112","0.0112","0.0112","0.0112","0.0112","0.0112"
"0.0111","0.0111","0.0110","0.0111","0.0111","0.0111","0.0111","0.0111","0.0111","0.0111","0.0111"
"0.0110","0.0110","0.0111","0.0110","0.0110","0.0110","0.0110","0.0110","0.0110","0.0110","0.0110"
"0.0109","0.0109","0.0109","0.0109","0.0109","0.0109","0.0109","0.0109","0.0109","0.0109","0.0109"
"0.0108","0.0108","0.0106","0.0108","0.0108","0.0108","0.0108","0.0108","0.0108","0.0108","0.0108"
"0.0107","0.0106","0.0104","0.0106","0.0106","0.0106","0.0107","0.0107","0.0107","0.0107","0.0105"
"0.0106","0.0107","0.0103","0.0104","0.0107","0.0107","0.0106","0.0106","0.0106","0.0106","0.0106"
"0.0105","0.0104","0.0105","0.0101","0.0104","0.0105","0.0103","0.0105","0.0104","0.0105","0.0107"
"0.0104","0.0103","0.0107","0.0107","0.0103","0.0104","0.0102","0.0104","0.0105","0.0104","0.0101"
"0.0103","0.0105","0.0099","0.0103","0.0101","0.0101","0.0101","0.0103","0.0102","0.0100","0.0100"
"0.0102","0.0101","0.0108","0.0102","0.0099","0.0100","0.0100","0.0102","0.0103","0.0102","0.0104"
"0.0101","0.0100","0.0094","0.0098","0.0102","0.0102","0.0105","0.0100","0.0099","0.0103","0.0102"
"0.0100","0.0099","0.0100","0.0105","0.0100","0.0103","0.0104","0.0101","0.0100","0.0099","0.0099"
"0.0099","0.0098","0.0096","0.0100","0.0105","0.0099","0.0099","0.0099","0.0098","0.0101","0.0098"
"0.0098","0.0097","0.0098","0.0096","0.0098","0.0097","0.0098","0.0098","0.0101","0.0098","0.0103"
"0.0097","0.0096","0.0095","0.0097","0.0096","0.0095","0.0097","0.0097","0.0097","0.0097","0.0097"
"0.0096","0.0095","0.0097","0.0099","0.0097","0.0096","0.0096","0.0096","0.0095","0.0095","0.0096"
"0.0095","0.0102","0.0102","0.0094","0.0095","0.0098","0.0095","0.0095","0.0096","0.0096","0.0095"
